Feature name,Distribution,Reject pvalue,Params,target
356,genextreme,0.8769889310145147,"(0.18171812512574495, 2.664394770992602, 0.4320247328508523)",lesional
357,weibull_min,0.4795424338191826,"(18.58621887567039, -0.14786061816849194, 6.234864167376991)",lesional
358,genextreme,0.8614272822152537,"(0.32224416220945484, 2.9757920316547652, 0.600423901508229)",lesional
360,genextreme,0.9924751345378104,"(0.29686457373107183, 3.7399014059611715, 0.2783376191087578)",lesional
361,norm,0.5991339636965651,"(7.299780587327023, 0.4823855145836539)",lesional
363,weibull_min,0.9775271071628997,"(13.544434594990356, -0.2488701829331164, 4.83566004309656)",lesional
364,norm,0.8571831655361709,"(3.537778603541376, 0.5608082787095597)",lesional
366,weibull_min,0.7019017187209112,"(91420617.76018146, -15658082.939952414, 15658089.468131322)",lesional
368,norm,0.8539425938564364,"(1.9610685188154, 0.5585161620910076)",lesional
369,weibull_min,0.9000417910575987,"(10.554875850612518, 1.0317371803296886, 3.5454643732072655)",lesional
371,norm,0.8302008032886046,"(3.5164024413930455, 0.822063730865207)",lesional
372,weibull_min,0.7515719641330734,"(9.667321445567744, 2.1386803168212323, 2.71884197631746)",lesional
373,weibull_min,0.8836588668051578,"(11.453699006350515, 3.1477353835328863, 3.6210489410215985)",lesional
374,weibull_min,0.6533210429200983,"(10.724222267146148, -5.354599414843209, 9.457582279422873)",lesional
375,weibull_min,0.7884573920665653,"(11.588808962371216, 0.9047444115356396, 4.332580810826502)",lesional
376,weibull_min,0.951655450545567,"(5.344898015036523, 6.349784637523164, 0.9808412182051965)",lesional
377,norm,0.9499968033161651,"(4.548978595213146, 0.4364335812234862)",lesional
378,weibull_min,0.9056364302032751,"(89424540.22529891, -60403695.0980968, 60403700.54336992)",lesional
380,norm,0.3998202157716355,"(6.419869834207891, 0.39624619518637466)",lesional
381,norm,0.4221727983046072,"(5.212240581469469, 0.5423961660816397)",lesional
383,weibull_min,0.6134670526524908,"(21.462237098785234, -1.140422689994815, 5.159027397319438)",lesional
384,genextreme,0.9974385325731221,"(0.4482801585432449, 2.1323332948834857, 0.8696712057739253)",lesional
385,weibull_min,0.4174046936618492,"(16.0947955491796, -1.418383049217892, 5.7981547684558326)",lesional
